,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
638,Scottie Barnes,TOR,1,4,2021,Florida State,2020-21,2020-21,24,7,24.8,4.1,8.1,3.6,6.5,0.5,1.7,1.7,2.8,1.5,2.5,4.0,4.1,1.5,0.5,2.5,2.2,10.3,.503,.561,.275,.621,.548,.531,G,Florida State,scottie-barnes-1
639,Harrison Barnes,GSW,1,7,2012,North Carolina,2010-11,2011-12,75,73,29.3,5.8,13.6,4.3,9.1,1.5,4.4,3.1,4.3,2.0,3.5,5.5,1.3,0.9,0.4,1.9,1.9,16.3,.430,.469,.349,.734,.524,.487,F,North Carolina,harrison-barnes-1
640,Dalano Banton,TOR,2,46,2021,Nebraska,2018-19,2020-21,58,34,20.8,2.2,5.4,1.7,3.4,0.5,2.0,1.3,2.1,0.7,3.6,4.3,2.9,0.7,0.7,2.1,1.4,6.3,.408,.510,.237,.631,.485,.453,G,NebraskaWestern Kentucky,dalano-banton-1
641,Desmond Bane,BOS,1,30,2020,TCU,2016-17,2019-20,141,114,30.3,4.7,9.4,2.9,5.4,1.8,4.1,1.5,1.9,1.0,3.7,4.7,2.4,0.9,0.4,1.6,2.2,12.7,.495,.542,.433,.804,.611,.589,G,TCU,desmond-bane-1
642,Paolo Banchero,ORL,1,1,2022,Duke,2021-22,2021-22,39,39,33.0,6.3,13.2,5.2,9.8,1.1,3.3,3.5,4.8,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2,.478,.525,.338,.729,.557,.520,F,Duke,paolo-banchero-1
643,Mohamed Bamba,ORL,1,6,2018,Texas,2017-18,2017-18,30,29,30.2,4.9,9.0,4.4,7.3,0.5,1.7,2.7,4.0,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5,12.9,.541,.603,.275,.681,.593,.567,F,Texas,mohamed-bamba-1
644,Lonzo Ball,LAL,1,2,2017,UCLA,2016-17,2016-17,36,36,35.1,5.3,9.5,3.0,4.1,2.2,5.4,1.8,2.7,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6,.551,.732,.412,.673,.673,.668,G,UCLA,lonzo-ball-1
645,Wade Baldwin IV,MEM,1,17,2016,Vanderbilt,2014-15,2015-16,68,54,29.6,3.4,8.0,2.2,5.1,1.2,2.9,3.5,4.4,0.4,3.6,4.1,4.8,1.3,0.2,2.3,2.5,11.6,.431,.436,.422,.800,.578,.508,G,Vanderbilt,wade-baldwin-1
646,Patrick Baldwin Jr.,GSW,1,28,2022,Milwaukee,2021-22,2021-22,11,10,28.5,4.1,11.9,2.5,6.1,1.5,5.8,2.4,3.2,0.9,4.9,5.8,1.5,0.8,0.8,2.1,1.5,12.1,.344,.418,.266,.743,.450,.408,G,Milwaukee,patrick-baldwinjr-1
647,Cameron Bairstow,CHI,2,49,2014,New Mexico,2010-11,2013-14,134,55,20.8,3.1,6.0,3.1,6.0,0.0,0.0,3.0,4.2,1.7,3.0,4.8,0.8,0.5,0.7,1.2,2.1,9.2,.517,.519,.333,.717,.577,.519,F,New Mexico,cameron-bairstow-1
648,Amari Bailey,CHA,2,41,2023,UCLA,2022-23,2022-23,30,28,26.9,4.5,9.1,3.8,7.3,0.7,1.8,1.5,2.1,0.8,3.0,3.8,2.2,1.1,0.3,2.4,1.7,11.2,.495,.521,.389,.698,.553,.533,G,UCLA,amari-bailey-1
649,Marvin Bagley III,SAC,1,2,2018,Duke,2017-18,2017-18,33,32,33.9,8.2,13.3,7.5,11.6,0.7,1.8,4.0,6.3,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0,.614,.647,.397,.627,.643,.640,F,Duke,marvin-bagleyiii-1
650,Dwayne Bacon,NOH,2,40,2017,Florida State,2015-16,2016-17,69,67,28.8,6.1,13.5,4.8,9.3,1.3,4.1,3.1,4.2,1.2,3.8,5.0,1.6,1.0,0.1,2.1,1.9,16.5,.449,.510,.312,.733,.533,.497,G,Florida State,dwayne-bacon-1
651,Luke Babbitt,MIN,1,16,2010,Nevada,2009-10,2009-10,34,34,37.1,7.4,14.8,6.1,11.8,1.2,3.0,5.9,6.4,2.1,6.9,8.9,2.1,1.0,0.8,2.4,2.6,21.9,.500,.521,.416,.917,.614,.542,F,Nevada,luke-babbitt-1
652,Udoka Azubuike,UTA,1,27,2020,Kansas,2016-17,2019-20,87,79,23.4,5.4,7.2,5.4,7.2,0.0,0.0,1.5,3.6,2.6,5.3,7.9,0.7,0.5,2.0,2.0,2.8,12.3,.746,.746,,.416,.686,.746,C,Kansas,udoka-azubuike-1
653,Deandre Ayton,PHO,1,1,2018,Arizona,2017-18,2017-18,35,35,33.5,7.9,12.9,7.5,11.9,0.3,1.0,4.0,5.5,3.4,8.2,11.6,1.6,0.6,1.9,2.0,2.3,20.1,.612,.635,.343,.733,.650,.625,F,Arizona,deandre-ayton-1
654,OG Anunoby,TOR,1,23,2017,Indiana,2015-16,2016-17,50,10,17.4,2.7,4.8,2.1,3.3,0.5,1.5,0.9,1.8,1.4,2.1,3.5,0.8,1.0,0.9,1.1,1.7,6.8,.563,.652,.365,.522,.609,.620,F,Indiana,og-anunoby-1
655,Cole Anthony,ORL,1,15,2020,North Carolina,2019-20,2019-20,22,20,34.9,6.0,15.7,3.7,9.3,2.2,6.4,4.4,5.8,0.5,5.2,5.7,4.0,1.3,0.3,3.5,2.9,18.5,.380,.402,.348,.750,.501,.451,G,North Carolina,cole-anthony-1
656,Kostas Antetokounmpo,PHI,2,60,2018,Dayton,2017-18,2017-18,29,6,15.1,2.0,3.5,1.9,3.0,0.1,0.5,1.1,2.2,0.8,2.0,2.9,0.4,0.2,1.1,1.3,2.3,5.2,.574,.651,.133,.516,.575,.584,F,Dayton,kostas-antetokounmpo-1
657,Ike Anigbogu,IND,2,47,2017,UCLA,2016-17,2016-17,29,0,13.0,2.0,3.5,2.0,3.5,0.0,0.0,0.8,1.5,1.4,2.6,4.0,0.2,0.2,1.2,0.8,2.5,4.7,.564,.564,,.535,.564,.564,F,UCLA,ike-anigbogu-1
658,Kyle Anderson,SAS,1,30,2014,UCLA,2012-13,2013-14,71,70,31.6,4.3,9.4,3.8,8.1,0.5,1.4,3.1,4.3,1.7,7.0,8.7,5.0,1.8,0.8,2.6,1.9,12.2,.452,.465,.375,.736,.531,.479,G,UCLA,kyle-anderson-3
659,Justin Anderson,DAL,1,21,2015,Virginia,2012-13,2014-15,98,44,24.1,2.9,6.8,1.9,4.1,1.0,2.8,2.0,2.7,0.8,2.7,3.5,1.8,0.6,0.9,1.3,1.4,8.9,.430,.481,.357,.752,.549,.503,G,Virginia,justin-anderson-1
660,James Anderson,SAS,1,20,2010,Oklahoma State,2009-10,2009-10,33,33,34.1,6.8,15.0,4.6,8.4,2.2,6.6,6.3,7.8,1.9,3.9,5.8,2.4,1.4,0.6,2.4,2.7,22.3,.457,.549,.341,.810,.596,.532,G,Oklahoma State,james-anderson-3
661,Al-Farouq Aminu,LAC,1,8,2010,Wake Forest,2009-10,2009-10,31,30,31.3,5.4,12.1,4.8,9.9,0.6,2.1,4.5,6.4,4.3,6.4,10.7,1.3,1.4,1.4,3.2,2.9,15.8,.447,.484,.273,.698,.524,.471,F,Wake Forest,al-farouq-aminu-1
662,Lavoy Allen,PHI,2,50,2011,Temple,2009-10,2010-11,68,67,34.2,4.8,9.4,4.6,8.8,0.1,0.6,1.8,2.8,3.1,6.6,9.7,2.3,0.6,1.6,1.6,2.3,11.5,.508,.525,.250,.663,.538,.516,F,Temple,lavoy-allen-1
663,Kadeem Allen,BOS,2,53,2017,Arizona,2015-16,2016-17,68,61,27.5,3.0,6.6,2.3,4.8,0.7,1.8,2.3,3.1,0.3,3.3,3.6,3.3,1.3,0.7,2.0,2.4,9.1,.459,.482,.400,.725,.560,.514,G,Arizona,kadeem-allen-1
664,Jarrett Allen,NJN,1,22,2017,Texas,2016-17,2016-17,33,33,32.2,5.4,9.6,5.4,9.4,0.0,0.2,2.5,4.5,3.0,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,.566,.579,.000,.564,.571,.566,F,Texas,jarrett-allen-1
665,Grayson Allen,UTA,1,21,2018,Duke,2014-15,2017-18,142,97,27.9,4.3,9.9,2.2,4.5,2.0,5.4,3.5,4.2,0.5,2.6,3.2,3.0,1.0,0.1,1.7,2.1,14.1,.430,.490,.380,.834,.591,.533,G,Duke,grayson-allen-1
666,Nickeil Alexander-Walker,NJN,1,17,2019,Virginia Tech,2017-18,2018-19,67,67,29.9,4.7,10.1,3.0,5.6,1.7,4.5,2.4,3.1,0.6,3.4,4.0,2.7,1.4,0.5,2.2,1.9,13.5,.464,.529,.383,.763,.582,.549,G,Virginia Tech,nickeil-alexander-walker-1
667,Cole Aldrich,NOH,1,11,2010,Kansas,2009-10,2009-10,36,36,26.8,4.1,7.4,4.1,7.4,0.0,0.0,3.0,4.4,3.1,6.8,9.8,0.9,0.8,3.5,1.6,2.6,11.3,.562,.562,,.679,.596,.562,C,Kansas,cole-aldrich-1
668,Santi Aldama,UTA,1,30,2021,Loyola (MD),2019-20,2020-21,27,26,33.3,7.3,14.7,5.6,9.2,1.7,5.4,2.8,4.4,1.7,7.5,9.2,2.2,1.0,1.7,2.9,2.0,19.0,.495,.606,.306,.639,.567,.552,F,Loyola (MD),santi-aldama-1
669,Solomon Alabi,DAL,2,50,2010,Florida State,2009-10,2009-10,32,32,25.6,4.2,7.8,4.2,7.8,0.0,0.0,3.4,4.3,2.5,3.7,6.2,0.5,0.6,2.3,1.9,2.3,11.7,.534,.534,,.794,.596,.534,C,Florida State,solomon-alabi-1
670,Ochai Agbaji,CLE,1,14,2022,Kansas,2018-19,2021-22,122,116,32.6,4.8,10.8,2.8,5.3,2.0,5.5,1.8,2.5,1.0,3.4,4.4,1.6,1.0,0.5,1.7,1.8,13.5,.448,.526,.373,.714,.564,.542,G,Kansas,ochai-agbaji-1
671,Bam Adebayo,MIA,1,14,2017,Kentucky,2016-17,2016-17,38,38,30.1,4.5,7.5,4.5,7.5,0.0,0.0,4.1,6.2,3.1,4.9,8.0,0.8,0.7,1.5,1.7,2.6,13.0,.599,.599,,.653,.624,.599,F,Kentucky,edrice-adebayo-1
672,Steven Adams,OKC,1,12,2013,Pittsburgh,2012-13,2012-13,32,32,23.4,3.1,5.5,3.1,5.5,0.0,0.0,1.0,2.2,2.8,3.5,6.3,0.6,0.7,2.0,1.1,1.6,7.2,.571,.571,,.443,.555,.571,C,Pittsburgh,steven-adams-1
673,Jordan Adams,MEM,1,22,2014,UCLA,2012-13,2013-14,69,63,30.2,5.4,11.6,4.0,7.3,1.4,4.3,4.2,5.0,1.3,3.3,4.6,2.1,2.4,0.2,1.4,2.1,16.4,.467,.548,.331,.839,.589,.529,G,UCLA,jordan-adams-1
674,Quincy Acy,TOR,2,37,2012,Baylor,2009-10,2011-12,105,56,27.9,4.1,6.9,4.1,6.8,0.0,0.1,3.0,4.0,2.4,4.3,6.7,0.7,0.8,1.4,1.7,2.7,11.2,.594,.596,.429,.731,.634,.597,F,Baylor,quincy-acy-1
675,Precious Achiuwa,MIA,1,20,2020,Memphis,2019-20,2019-20,31,31,30.4,5.9,11.9,5.5,10.6,0.4,1.3,3.6,6.0,3.0,7.8,10.8,1.0,1.1,1.9,2.8,2.4,15.8,.493,.514,.325,.599,.534,.511,F,Memphis,precious-achiuwa-1
